Employee_ID,Dept,Attrition_Prob,Risk,Engagement,Role,Skill_Gap,Gap_Severity,Recommendation
458,Sales,0.86,LOW,62,HR Executive,"Communication, HR Compliance, Workday",4,"Learn Workday -- ""Workday HCM Fundamentals"""
459,Sales,0.22,LOW,69,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
460,Human Resources,0.985,HIGH,63,ML Engineer,"Machine Learning, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
461,Sales,0.84,LOW,64,MLOps Engineer,"AWS, CI/CD",2,"Learn AWS -- ""Cloud Infrastructure on AWS"""
462,IT,0.22,LOW,57,Research Scientist,"AWS, Python, Statistics",5,"Learn Python -- ""Python for Data & ML Practitioners"""
463,IT,0.735,LOW,88,Data Analyst,"Data Visualization, Statistics, Tableau",4,"Learn Statistics -- ""Applied Statistics for Business"""
464,IT,0.92,MEDIUM,67,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
465,Human Resources,0.825,LOW,24,MLOps Engineer,Cloud,1,"Learn Cloud -- ""Cloud Computing Foundations"""
466,Sales,0.25,LOW,69,Software Engineer,"Docker, Kubernetes",3,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
467,Research & Development,0.185,LOW,61,Research Scientist,"AWS, Python",3,"Learn Python -- ""Python for Data & ML Practitioners"""
468,Sales,0.91,MEDIUM,70,MLOps Engineer,"Cloud, Kubernetes, Terraform",4,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
469,Human Resources,0.96,HIGH,58,Software Engineer,"AWS, Docker, Kubernetes, System Design",6,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
470,Sales,0.86,LOW,56,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
471,Sales,0.22,LOW,86,Research Scientist,"AWS, Research Methods",3,"Learn Research Methods -- ""Research Methods & Experimental Design"""
472,Research & Development,0.96,HIGH,83,Data Analyst,"Excel, Statistics, Tableau",5,"Learn Excel -- ""Advanced Excel for Business Analytics"""
473,IT,0.89,MEDIUM,73,HR Executive,"Conflict Resolution, Workday",3,"Learn Workday -- ""Workday HCM Fundamentals"""
474,Research & Development,0.93,MEDIUM,60,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
475,Sales,0.915,MEDIUM,50,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
476,Sales,0.75,LOW,63,Sales Executive,"Excel, Negotiation",3,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
477,Sales,0.92,MEDIUM,65,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
478,Sales,0.235,LOW,42,HR Executive,"Communication, Conflict Resolution, HR Compliance, Workday",5,"Learn Workday -- ""Workday HCM Fundamentals"""
479,IT,0.195,LOW,47,MLOps Engineer,(none),0,No critical skill gaps -- keep up ongoing development
480,Research & Development,0.915,MEDIUM,73,HR Executive,"Conflict Resolution, Excel, HR Compliance",3,"Learn Conflict Resolution -- ""Conflict Resolution in the Workplace"""
481,IT,0.9,MEDIUM,73,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
482,Human Resources,0.935,MEDIUM,81,ML Engineer,"Machine Learning, Python, Statistics",4,"Learn Statistics -- ""Applied Statistics for Business"""
483,IT,0.14,LOW,84,Data Analyst,Data Visualization,1,"Learn Data Visualization -- ""Storytelling with Data Visualization"""
484,Research & Development,0.955,HIGH,62,Research Scientist,"AWS, Python",3,"Learn Python -- ""Python for Data & ML Practitioners"""
485,Sales,0.815,LOW,62,Software Engineer,System Design,2,"Learn System Design -- ""System Design for Scalable Applications"""
486,IT,0.11,LOW,65,ML Engineer,"AWS, Docker, Machine Learning, PyTorch, Python",6,"Learn Docker -- ""Containerization Fundamentals with Docker"""
487,Sales,0.51,LOW,63,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
488,Sales,0.34,LOW,61,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
489,Sales,0.41,LOW,61,Sales Executive,"Communication, Negotiation, Salesforce",5,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
490,Research & Development,0.985,HIGH,59,Data Analyst,"Excel, Tableau",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
491,Research & Development,0.345,LOW,52,ML Engineer,AWS,1,"Learn AWS -- ""Cloud Infrastructure on AWS"""
492,Research & Development,0.335,LOW,68,Sales Executive,Salesforce,2,"Learn Salesforce -- ""Salesforce Administration Essentials"""
493,IT,0.93,MEDIUM,50,HR Executive,"Excel, HR Compliance, Workday",4,"Learn Workday -- ""Workday HCM Fundamentals"""
494,Sales,0.66,LOW,39,ML Engineer,Machine Learning,1,"Learn Machine Learning -- ""Machine Learning Foundations"""
495,Research & Development,0.905,MEDIUM,94,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
496,Sales,0.925,MEDIUM,79,Software Engineer,"AWS, Docker, Java, Python",5,"Learn Python -- ""Python for Data & ML Practitioners"""
497,Sales,0.295,LOW,65,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
498,Sales,0.8,LOW,55,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
499,Human Resources,0.92,MEDIUM,55,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
500,Sales,0.78,LOW,69,HR Executive,"Excel, Workday",3,"Learn Workday -- ""Workday HCM Fundamentals"""
501,IT,0.27,LOW,61,MLOps Engineer,"AWS, Kubernetes",3,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
502,Sales,0.975,HIGH,76,Data Analyst,"Data Visualization, Tableau",2,"Learn Data Visualization -- ""Storytelling with Data Visualization"""
503,Research & Development,0.92,MEDIUM,100,ML Engineer,Python,1,"Learn Python -- ""Python for Data & ML Practitioners"""
504,Human Resources,0.965,HIGH,50,ML Engineer,"MLOps, Machine Learning, PyTorch",3,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
505,Sales,0.875,LOW,59,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
506,IT,0.635,LOW,72,Research Scientist,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
507,IT,0.5,LOW,69,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
508,IT,0.915,MEDIUM,77,HR Executive,Workday,2,"Learn Workday -- ""Workday HCM Fundamentals"""
509,IT,0.93,MEDIUM,61,Sales Executive,CRM Tools,1,"Learn CRM Tools -- ""CRM Best Practices"""
510,Human Resources,0.935,MEDIUM,55,ML Engineer,Docker,2,"Learn Docker -- ""Containerization Fundamentals with Docker"""
511,Sales,0.935,MEDIUM,77,ML Engineer,"Machine Learning, PyTorch",2,"Learn Machine Learning -- ""Machine Learning Foundations"""
512,Human Resources,0.895,MEDIUM,78,Software Engineer,"AWS, Docker, Python",4,"Learn Python -- ""Python for Data & ML Practitioners"""
513,Human Resources,0.83,LOW,73,Research Scientist,Research Methods,2,"Learn Research Methods -- ""Research Methods & Experimental Design"""
514,IT,0.745,LOW,61,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
515,Human Resources,0.46,LOW,85,ML Engineer,Machine Learning,1,"Learn Machine Learning -- ""Machine Learning Foundations"""
516,Research & Development,0.165,LOW,100,Sales Executive,"CRM Tools, Communication, Excel, Negotiation",5,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
517,IT,0.43,LOW,69,MLOps Engineer,(none),0,No critical skill gaps -- keep up ongoing development
518,IT,0.65,LOW,67,Sales Executive,"CRM Tools, Negotiation",3,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
519,Research & Development,0.835,LOW,66,ML Engineer,"Docker, Python",3,"Learn Docker -- ""Containerization Fundamentals with Docker"""
520,Sales,0.24,LOW,66,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
521,IT,0.18,LOW,64,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
522,IT,0.355,LOW,46,Data Analyst,"Excel, SQL",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
523,Human Resources,0.945,HIGH,63,Research Scientist,AWS,1,"Learn AWS -- ""Cloud Infrastructure on AWS"""
524,Research & Development,0.685,LOW,61,Research Scientist,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
525,Research & Development,0.885,MEDIUM,79,MLOps Engineer,"CI/CD, Cloud, Terraform",3,"Learn CI/CD -- ""CI/CD Pipelines for Engineers"""
526,IT,0.84,LOW,56,MLOps Engineer,CI/CD,1,"Learn CI/CD -- ""CI/CD Pipelines for Engineers"""
527,Human Resources,0.995,HIGH,84,Software Engineer,"Java, Python, System Design",5,"Learn Python -- ""Python for Data & ML Practitioners"""
528,Human Resources,0.935,MEDIUM,49,HR Executive,"Communication, Conflict Resolution",2,"Learn Communication -- ""Effective Workplace Communication"""
529,Sales,0.83,LOW,51,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
530,Research & Development,0.915,MEDIUM,75,Data Analyst,Tableau,1,"Learn Tableau -- ""Data Visualization with Tableau"""
531,IT,0.69,LOW,55,Sales Executive,"CRM Tools, Excel, Salesforce",4,"Learn Salesforce -- ""Salesforce Administration Essentials"""
532,IT,0.89,MEDIUM,60,Software Engineer,"AWS, Docker, Kubernetes, Python, System Design",8,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
533,IT,0.21,LOW,79,Data Analyst,SQL,1,"Learn SQL -- ""Practical SQL for Analysts"""
534,Sales,0.98,HIGH,90,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
535,IT,0.255,LOW,84,HR Executive,Excel,1,"Learn Excel -- ""Advanced Excel for Business Analytics"""
536,Sales,0.755,LOW,54,Software Engineer,"Java, Python",3,"Learn Python -- ""Python for Data & ML Practitioners"""
537,IT,0.94,MEDIUM,80,Software Engineer,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
538,Research & Development,0.295,LOW,63,MLOps Engineer,"AWS, CI/CD",2,"Learn AWS -- ""Cloud Infrastructure on AWS"""
539,Sales,0.935,MEDIUM,100,Research Scientist,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
540,IT,0.88,LOW,87,Software Engineer,"AWS, Docker, Kubernetes, Python",6,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
541,Research & Development,0.945,HIGH,50,Data Analyst,"Excel, Tableau",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
542,IT,0.3,LOW,66,HR Executive,Conflict Resolution,1,"Learn Conflict Resolution -- ""Conflict Resolution in the Workplace"""
543,Sales,0.685,LOW,34,ML Engineer,"AWS, MLOps, Machine Learning, PyTorch",4,"Learn AWS -- ""Cloud Infrastructure on AWS"""
544,Sales,0.955,HIGH,83,Research Scientist,"Python, Statistics",4,"Learn Python -- ""Python for Data & ML Practitioners"""
545,IT,0.965,HIGH,78,HR Executive,"Communication, Conflict Resolution, HR Compliance, Workday",5,"Learn Workday -- ""Workday HCM Fundamentals"""
546,IT,0.825,LOW,78,Data Analyst,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
547,IT,0.225,LOW,88,Data Analyst,SQL,1,"Learn SQL -- ""Practical SQL for Analysts"""
548,Research & Development,0.965,HIGH,64,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
549,Research & Development,0.855,LOW,72,HR Executive,"Communication, Excel, HR Compliance",3,"Learn Communication -- ""Effective Workplace Communication"""
550,Sales,0.91,MEDIUM,85,Software Engineer,"Docker, Java, Python, System Design",6,"Learn Python -- ""Python for Data & ML Practitioners"""
551,IT,0.26,LOW,54,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
552,Human Resources,0.31,LOW,51,HR Executive,HR Compliance,1,"Learn HR Compliance -- ""HR Compliance Essentials"""
553,Sales,0.955,HIGH,67,MLOps Engineer,"Cloud, MLOps",3,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
554,Human Resources,0.86,LOW,69,MLOps Engineer,Terraform,1,"Learn Terraform -- ""Infrastructure as Code with Terraform"""
555,Human Resources,0.86,LOW,67,Sales Executive,"Excel, Salesforce",3,"Learn Salesforce -- ""Salesforce Administration Essentials"""
556,Sales,0.775,LOW,69,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
557,IT,0.875,LOW,63,Data Analyst,"Data Visualization, Tableau",2,"Learn Data Visualization -- ""Storytelling with Data Visualization"""
558,Human Resources,0.925,MEDIUM,81,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
559,Research & Development,0.97,HIGH,82,Data Analyst,Excel,2,"Learn Excel -- ""Advanced Excel for Business Analytics"""
560,Human Resources,0.17,LOW,52,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
561,Research & Development,0.475,LOW,60,Data Analyst,"Excel, SQL",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
562,Sales,0.985,HIGH,79,Research Scientist,"Python, Statistics",4,"Learn Python -- ""Python for Data & ML Practitioners"""
563,Research & Development,0.98,HIGH,62,MLOps Engineer,"AWS, CI/CD, Cloud, Docker, Kubernetes, MLOps, Terraform",10,"Learn Docker -- ""Containerization Fundamentals with Docker"""
564,IT,0.885,MEDIUM,94,MLOps Engineer,"Docker, Kubernetes, Terraform",5,"Learn Docker -- ""Containerization Fundamentals with Docker"""
565,Research & Development,0.35,LOW,50,HR Executive,"Communication, Conflict Resolution, HR Compliance, Workday",5,"Learn Workday -- ""Workday HCM Fundamentals"""
566,IT,0.935,MEDIUM,100,ML Engineer,"Machine Learning, PyTorch, Statistics",4,"Learn Statistics -- ""Applied Statistics for Business"""
567,IT,0.94,MEDIUM,82,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
568,IT,0.83,LOW,58,Software Engineer,Kubernetes,2,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
569,IT,0.93,MEDIUM,78,Research Scientist,Research Methods,2,"Learn Research Methods -- ""Research Methods & Experimental Design"""
570,IT,0.94,MEDIUM,31,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
571,Research & Development,0.85,LOW,66,Sales Executive,"CRM Tools, Communication",2,"Learn CRM Tools -- ""CRM Best Practices"""
572,Human Resources,0.295,LOW,53,Sales Executive,"Communication, Excel, Salesforce",4,"Learn Salesforce -- ""Salesforce Administration Essentials"""
573,Research & Development,0.925,MEDIUM,59,HR Executive,"Excel, HR Compliance",2,"Learn Excel -- ""Advanced Excel for Business Analytics"""
574,Human Resources,0.88,LOW,100,Research Scientist,"AWS, Python",3,"Learn Python -- ""Python for Data & ML Practitioners"""
575,Research & Development,0.105,LOW,86,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
576,IT,0.43,LOW,64,Research Scientist,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
577,IT,0.95,HIGH,0,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
578,Sales,0.945,HIGH,96,Research Scientist,AWS,1,"Learn AWS -- ""Cloud Infrastructure on AWS"""
579,Research & Development,0.91,MEDIUM,45,Data Analyst,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
580,Sales,0.86,LOW,86,Software Engineer,AWS,1,"Learn AWS -- ""Cloud Infrastructure on AWS"""
581,Research & Development,0.915,MEDIUM,61,MLOps Engineer,MLOps,2,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
582,Sales,0.225,LOW,81,Data Analyst,"Excel, Statistics, Tableau",5,"Learn Excel -- ""Advanced Excel for Business Analytics"""
583,Research & Development,0.98,HIGH,77,HR Executive,Conflict Resolution,1,"Learn Conflict Resolution -- ""Conflict Resolution in the Workplace"""
584,Research & Development,0.23,LOW,67,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
585,IT,0.955,HIGH,78,MLOps Engineer,"Kubernetes, Terraform",3,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
586,Sales,0.975,HIGH,89,Research Scientist,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
587,Research & Development,0.79,LOW,94,MLOps Engineer,(none),0,No critical skill gaps -- keep up ongoing development
588,Research & Development,0.84,LOW,64,Sales Executive,"Communication, Excel",2,"Learn Communication -- ""Effective Workplace Communication"""
589,Sales,0.88,LOW,67,Data Analyst,"Data Visualization, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
590,Human Resources,0.88,LOW,67,MLOps Engineer,"CI/CD, MLOps",3,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
591,IT,0.855,LOW,46,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
592,Research & Development,0.855,LOW,91,ML Engineer,"Docker, MLOps, Statistics",5,"Learn Docker -- ""Containerization Fundamentals with Docker"""
593,IT,0.935,MEDIUM,67,Data Analyst,"Excel, SQL",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
594,Research & Development,0.93,MEDIUM,93,MLOps Engineer,"Docker, Kubernetes",4,"Learn Docker -- ""Containerization Fundamentals with Docker"""
595,Sales,0.82,LOW,76,ML Engineer,MLOps,1,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
596,Research & Development,0.195,LOW,93,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
597,Human Resources,0.96,HIGH,95,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
598,Sales,0.86,LOW,77,MLOps Engineer,"Docker, Kubernetes",4,"Learn Docker -- ""Containerization Fundamentals with Docker"""
599,Sales,0.955,HIGH,73,Sales Executive,"Communication, Negotiation, Salesforce",5,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
600,Sales,0.985,HIGH,75,MLOps Engineer,"CI/CD, MLOps",3,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
